Date,Sample,Time.bottom,year,month,day,date_time,Time.end,depth_m,BOSS#,Raw.hdd.number,Con.hdd.number,latitude_dd,longitude_dd,Comment,Forwards.habitat.image.exported,Downwards.habitat.image.exported,Site,Location,status,observer_count,observer_length,successful_count,successful_length,panoramic_habitat_image_saved,downward_habitat_image_saved,successful_habitat_panoramic,successful_habitat_downward,observer_habitat_panoramic,observer_habitat_downward,Video.notes,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
20210302,67,16:16:24,2021,03,02,2021-03-02T16:16:24:00+08:00,16:24:27,25.5,BOSS2,RAW1,CON1,-33.5573,115.2244,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210423,,,,pointer
20210302,68,13:07:35,2021,03,02,2021-03-02T13:07:35:00+08:00,13:13:13,16.3,BOSS2,RAW1,CON1,-33.5934,115.2149,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,
20210302,69,14:03:09,2021,03,02,2021-03-02T14:03:09:00+08:00,14:09:10,20.3,BOSS2,RAW1,CON1,-33.5863,115.2183,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,
20210302,70,15:04:13,2021,03,02,2021-03-02T15:04:13:00+08:00,15:09:43,26.1,BOSS2,RAW1,CON1,-33.5643,115.2101,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210422,,,,no fish
20210302,72,16:27:56,2021,03,02,2021-03-02T16:27:56:00+08:00,16:34:05,22.1,BOSS2,RAW1,CON1,-33.5547,115.2146,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210423,,,,
20210302,74,11:56:11,2021,03,02,2021-03-02T11:56:11:00+08:00,12:03:08,20.8,BOSS2,RAW1,CON1,-33.5837,115.2119,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,
20210302,75,15:48:33,2021,03,02,2021-03-02T15:48:33:00+08:00,15:54:12,23.1,BOSS2,RAW1,CON1,-33.5622,115.2297,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210422,,,,
20210302,77,13:45:06,2021,03,02,2021-03-02T13:45:06:00+08:00,13:51:21,17.1,BOSS2,RAW1,CON1,-33.596,115.2247,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,check tiny vlamingii + scaber
20210302,78,15:20:45,2021,03,02,2021-03-02T15:20:45:00+08:00,15:26:45,24.3,BOSS2,RAW1,CON1,-33.5668,115.2168,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210422,,,,
20210302,81,11:24:45,2021,03,02,2021-03-02T11:24:45:00+08:00,11:29:45,23.4,BOSS2,RAW1,CON1,-33.574,115.2101,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,boss is moving around a bit
20210302,83,12:16:05,2021,03,02,2021-03-02T12:16:05:00+08:00,12:22:37,18.8,BOSS2,RAW1,CON1,-33.5884,115.2055,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,check haackei
20210302,84,13:35:25,2021,03,02,2021-03-02T13:35:25:00+08:00,13:40:35,16.1,BOSS2,RAW1,CON1,-33.6009,115.2313,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,
20210302,85,10:46:32,2021,03,02,2021-03-02T10:46:32:00+08:00,11:00:50,22.4,BOSS2,RAW1,CON1,-33.5787,115.2004,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,nice baldie
20210302,86,12:57:01,2021,03,02,2021-03-02T12:57:01:00+08:00,13:03:02,16.4,BOSS2,RAW1,CON1,-33.5933,115.2087,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,heaps of fish!
20210302,88,14:11:36,2021,03,02,2021-03-02T14:11:36:00+08:00,14:16:50,20.9,BOSS2,RAW1,CON1,-33.5862,115.2217,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,check mosaicus
20210302,89,15:11:44,2021,03,02,2021-03-02T15:11:44:00+08:00,15:16:52,25.6,BOSS2,RAW1,CON1,-33.5644,115.2136,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210422,,,,
20210302,90,14:21:33,2021,03,02,2021-03-02T14:21:33:00+08:00,14:27:09,23.1,BOSS2,RAW1,CON1,-33.5765,115.2198,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,
20210302,91,16:36:06,2021,03,02,2021-03-02T16:36:06:00+08:00,16:41:21,27.6,BOSS2,RAW1,CON1,-33.5547,115.2116,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210423,,,,check trygonoptera spp
20210302,93,11:46:41,2021,03,02,2021-03-02T11:46:41:00+08:00,11:54:12,20.9,BOSS2,RAW1,CON1,-33.5837,115.2153,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,
20210302,94,15:40:35,2021,03,02,2021-03-02T15:40:35:00+08:00,15:46:37,24.3,BOSS2,RAW1,CON1,-33.5622,115.2331,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210422,,,,
20210302,96,16:07:52,2021,03,02,2021-03-02T16:07:52:00+08:00,16:15:27,25,BOSS2,RAW1,CON1,-33.5589,115.2261,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210422,,,,white shark after period
20210302,97,12:35:53,2021,03,02,2021-03-02T12:35:53:00+08:00,12:54:58,16.7,BOSS2,RAW1,CON1,-33.5949,115.2038,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,
20210302,98,14:42:33,2021,03,02,2021-03-02T14:42:33:00+08:00,14:48:14,24.3,BOSS2,RAW1,CON1,-33.5733,115.2215,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210422,,,,
20210302,100,14:54:45,2021,03,02,2021-03-02T14:54:45:00+08:00,15:00:45,25.4,BOSS2,RAW1,CON1,-33.5658,115.2022,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210422,,,,
20210302,101,09:52:39,2021,03,02,2021-03-02T09:52:39:00+08:00,10:17:03,26.9,BOSS2,RAW1,CON1,-33.5635,115.1855,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,2 small unknow wrasse and check 1 auricularis. baldie after period
20210302,123,09:06:07,2021,03,02,2021-03-02T09:06:07:00+08:00,09:29:08,26.9,BOSS1,RAW1,CON1,-33.5574,115.1548,,Top,Y,,Geographe,Fished,Rachel,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Rachel,20210318,Claude,,,no fish
20210302,129,07:57:08,2021,03,02,2021-03-02T07:57:08:00+08:00,08:17:52,29.3,BOSS2,RAW1,CON1,-33.5408,115.1741,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210420,,,,no fish
20210302,144,08:25:24,2021,03,02,2021-03-02T08:25:24:00+08:00,08:46:11,29,BOSS2,RAW1,CON1,-33.5491,115.1656,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210420,,,,no fish 
20210302,147,10:09:51,2021,03,02,2021-03-02T10:09:51:00+08:00,10:29:23,23.8,BOSS1,RAW1,CON1,-33.5748,115.1841,,Top,Y,,Geographe,Fished,Rachel,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Rachel,20210319,Claude,,,no fish 
20210302,160,08:13:30,2021,03,02,2021-03-02T08:13:30:00+08:00,08:32:04,29.3,BOSS1,RAW1,CON1,-33.5446,115.18,,Top,Y,,Geographe,Fished,Rachel,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Rachel,20210318,Claude - 1 unknown + unknown labrid,,,
20210302,174,08:38:28,2021,03,02,2021-03-02T08:38:28:00+08:00,08:38:56,27.9,BOSS1,RAW1,CON1,-33.5531,115.1821,,Top,Y,,Geographe,Fished,Rachel,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Rachel,20210318,Claude,,,
20210302,186,07:44:00,2021,03,02,2021-03-02T07:44:00:00+08:00,08:04:17,30.4,BOSS1,RAW1,CON1,-33.5387,115.1588,Western Most Point,Top,Y,,Geographe,Fished,Rachel,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Rachel,20210318,Claude,,,
20210302,189,10:23:32,2021,03,02,2021-03-02T10:23:32:00+08:00,10:42:24,23.4,BOSS2,RAW1,CON1,-33.573,115.1959,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,check lineolatus
20210302,208,08:52:24,2021,03,02,2021-03-02T08:52:24:00+08:00,09:16:35,28,BOSS2,RAW1,CON1,-33.5558,115.1775,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210420,,,,check caesiopercas
20210302,217,09:35:49,2021,03,02,2021-03-02T09:35:49:00+08:00,10:01:20,26.4,BOSS1,RAW1,CON1,-33.5669,115.163,,Top,Y,,Geographe,Fished,Rachel,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Rachel,20210319,Claude - unknown labrid,,,
20210302,237,09:24:48,2021,03,02,2021-03-02T09:24:48:00+08:00,09:41:47,27,BOSS2,RAW1,CON1,-33.5584,115.1561,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,"2 unknown, parequula?"
20210302,239,10:34:57,2021,03,02,2021-03-02T10:34:57:00+08:00,10:51:50,20.4,BOSS1,RAW1,CON1,-33.5843,115.1935,,Top,Y,,Geographe,Fished,Rachel,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Rachel,20210319,Claude,,,
20210303,52,08:08:59,2021,03,03,2021-03-03T08:08:59:00+08:00,08:14:42,29.9,BOSS2,RAW1,CON1,-33.5433,115.2036,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210503,,,,
20210303,57,08:29:48,2021,03,03,2021-03-03T08:29:48:00+08:00,08:36:04,29.8,BOSS2,RAW1,CON1,-33.5484,115.2164,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210505,,,,"check melbournensis, not sure if theres some gobbleguts mixed in"
20210303,58,09:52:58,2021,03,03,2021-03-03T09:52:58:00+08:00,09:58:30,22.1,BOSS2,RAW1,CON1,-33.5848,115.233,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,60,07:18:40,2021,03,03,2021-03-03T07:18:40:00+08:00,07:25:15,26.9,BOSS2,RAW1,CON1,-33.553,115.205,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210423,,,,check stereo distance school of whiting?
20210303,62,08:53:24,2021,03,03,2021-03-03T08:53:24:00+08:00,08:58:55,28,BOSS2,RAW1,CON1,-33.5461,115.2311,"Lots of fish on sounder, could be interesting",Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210505,,,,
20210303,71,08:42:00,2021,03,03,2021-03-03T08:42:00:00+08:00,08:48:55,27.5,BOSS2,RAW1,CON1,-33.5428,115.2279,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210505,,,,
20210303,73,10:17:40,2021,03,03,2021-03-03T10:17:40:00+08:00,10:23:25,18.4,BOSS2,RAW1,CON1,-33.5912,115.2312,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,76,07:59:04,2021,03,03,2021-03-03T07:59:04:00+08:00,08:05:10,29.5,BOSS2,RAW1,CON1,-33.5401,115.2085,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210423,,,,
20210303,79,08:18:14,2021,03,03,2021-03-03T08:18:14:00+08:00,08:25:40,28.7,BOSS2,RAW1,CON1,-33.545,115.2086,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210503,,,,check stereo distances auricualris + auratus
20210303,80,09:43:02,2021,03,03,2021-03-03T09:43:02:00+08:00,09:49:11,22.3,BOSS2,RAW1,CON1,-33.5815,115.2295,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,82,09:04:47,2021,03,03,2021-03-03T09:04:47:00+08:00,09:11:03,26,BOSS2,RAW1,CON1,-33.5525,115.2279,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210505,,,,
20210303,87,07:28:04,2021,03,03,2021-03-03T07:28:04:00+08:00,07:33:14,28.8,BOSS2,RAW1,CON1,-33.5497,115.2053,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210423,,,,
20210303,92,10:09:59,2021,03,03,2021-03-03T10:09:59:00+08:00,10:15:13,20.3,BOSS2,RAW1,CON1,-33.5912,115.2282,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,95,07:49:42,2021,03,03,2021-03-03T07:49:42:00+08:00,07:55:07,29.5,BOSS2,RAW1,CON1,-33.54,115.2006,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210423,,,,
20210303,99,10:01:30,2021,03,03,2021-03-03T10:01:30:00+08:00,10:07:40,21.1,BOSS2,RAW1,CON1,-33.588,115.2299,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,106,11:43:06,2021,03,03,2021-03-03T11:43:06:00+08:00,11:48:59,21.2,BOSS2,RAW1,CON1,-33.5539,115.2544,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,111,14:12:30,2021,03,03,2021-03-03T14:12:30:00+08:00,14:18:10,17.7,BOSS2,RAW1,CON1,-33.5798,115.2917,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,112,15:07:27,2021,03,03,2021-03-03T15:07:27:00+08:00,15:12:59,19.4,BOSS2,RAW1,CON1,-33.5674,115.3109,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,115,07:38:04,2021,03,03,2021-03-03T07:38:04:00+08:00,07:44:38,28.5,BOSS2,RAW1,CON1,-33.5467,115.1977,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210423,,,,"check baby ayraud, estimate of baitfish school"
20210303,118,09:20:15,2021,03,03,2021-03-03T09:20:15:00+08:00,09:27:03,25.5,BOSS2,RAW1,CON1,-33.5713,115.2398,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210505,,,,
20210303,120,10:59:40,2021,03,03,2021-03-03T10:59:40:00+08:00,11:06:10,14.6,BOSS2,RAW1,CON1,-33.5906,115.2584,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,125,12:58:56,2021,03,03,2021-03-03T12:58:56:00+08:00,13:04:46,24.3,BOSS2,RAW1,CON1,-33.5738,115.2682,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,128,13:41:46,2021,03,03,2021-03-03T13:41:46:00+08:00,13:48:08,13.5,BOSS2,RAW1,CON1,-33.5994,115.2867,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,130,15:52:12,2021,03,03,2021-03-03T15:52:12:00+08:00,15:58:27,18.3,BOSS2,RAW1,CON1,-33.562,115.3252,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,133,11:29:04,2021,03,03,2021-03-03T11:29:04:00+08:00,11:34:26,20.4,BOSS2,RAW1,CON1,-33.5798,115.2491,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,137,13:09:03,2021,03,03,2021-03-03T13:09:03:00+08:00,13:15:21,21.6,BOSS2,RAW1,CON1,-33.5823,115.2692,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,150,14:46:45,2021,03,03,2021-03-03T14:46:45:00+08:00,14:53:02,22,BOSS2,RAW1,CON1,-33.5569,115.3028,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,152,12:02:36,2021,03,03,2021-03-03T12:02:36:00+08:00,12:08:30,27,BOSS2,RAW1,CON1,-33.5437,115.2653,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,154,14:24:19,2021,03,03,2021-03-03T14:24:19:00+08:00,14:30:00,19.7,BOSS2,RAW1,CON1,-33.5693,115.2837,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,158,10:48:34,2021,03,03,2021-03-03T10:48:34:00+08:00,10:54:08,15.8,BOSS2,RAW1,CON1,-33.6027,115.2546,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,161,16:02:00,2021,03,03,2021-03-03T16:02:00:00+08:00,16:07:39,18.1,BOSS2,RAW1,CON1,-33.5657,115.3311,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,164,12:31:01,2021,03,03,2021-03-03T12:31:01:00+08:00,12:37:05,24.7,BOSS2,RAW1,CON1,-33.5523,115.2746,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,"changed name in metadata, transcription error"
20210303,170,10:27:08,2021,03,03,2021-03-03T10:27:08:00+08:00,10:34:10,18.2,BOSS2,RAW1,CON1,-33.592,115.2382,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,177,14:37:30,2021,03,03,2021-03-03T14:37:30:00+08:00,14:43:23,22.4,BOSS2,RAW1,CON1,-33.561,115.2956,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,185,13:51:15,2021,03,03,2021-03-03T13:51:15:00+08:00,13:57:16,14,BOSS2,RAW1,CON1,-33.5976,115.2902,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,194,16:11:40,2021,03,03,2021-03-03T16:11:40:00+08:00,16:17:11,15.8,BOSS2,RAW1,CON1,-33.5686,115.3381,gps stopped working unsure of time n/time out,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,198,12:46:30,2021,03,03,2021-03-03T12:46:30:00+08:00,12:54:01,253,BOSS2,RAW1,CON1,-33.5634,115.2626,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,203,14:01:31,2021,03,03,2021-03-03T14:01:31:00+08:00,14:07:33,14.5,BOSS2,RAW1,CON1,-33.589,115.2811,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,206,10:36:29,2021,03,03,2021-03-03T10:36:29:00+08:00,10:42:06,18.4,BOSS2,RAW1,CON1,-33.5948,115.243,Apparently heaps of baby Dewies on this spot no adults : Fishers,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,209,15:39:55,2021,03,03,2021-03-03T15:39:55:00+08:00,15:46:31,15.2,BOSS2,RAW1,CON1,-33.577,115.3287,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,213,13:22:11,2021,03,03,2021-03-03T13:22:11:00+08:00,13:28:14,20.3,BOSS2,RAW1,CON1,-33.6002,115.2714,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,219,11:52:12,2021,03,03,2021-03-03T11:52:12:00+08:00,11:58:05,26,BOSS2,RAW1,CON1,-33.5492,115.2582,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,225,15:16:45,2021,03,03,2021-03-03T15:16:45:00+08:00,15:22:16,19.9,BOSS2,RAW1,CON1,-33.5711,115.3051,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,230,09:30:16,2021,03,03,2021-03-03T09:30:16:00+08:00,09:36:26,22.4,BOSS2,RAW1,CON1,-33.5723,115.2482,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210505,,,,
20210303,232,11:08:59,2021,03,03,2021-03-03T11:08:59:00+08:00,11:15:32,16.2,BOSS2,RAW1,CON1,-33.5914,115.2502,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,236,12:16:34,2021,03,03,2021-03-03T12:16:34:00+08:00,12:21:56,26.5,BOSS2,RAW1,CON1,-33.5413,115.2891,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,238,15:26:45,2021,03,03,2021-03-03T15:26:45:00+08:00,15:32:02,18.2,BOSS2,RAW1,CON1,-33.5795,115.3073,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
20210303,244,13:31:50,2021,03,03,2021-03-03T13:31:50:00+08:00,13:38:30,15.3,BOSS2,RAW1,CON1,-33.604,115.2784,,Top,Y,,Geographe,Fished,,NA,,,Yes,Yes,Yes,Yes,Claude,Claude,,,,,,,
